track,artist,popularity,lyrics,sentiment,lyrics_clean
"Untungnya, Hidup Harus Tetap Berjalan",Bernadya,84,"Persis setahun yang lalu
Ku dijauhkan dari yang tak ditakdirkan untukku
Yang kuingat saat itu
Yang kulakukan hanya menggerutu angkuh
Lebih percaya cara-caraku
Pilih ragukan rencana Sang Maha Penentu
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Ada waktu-waktu
Hal buruk datang berturut-turut
Semua yang tinggal, juga yang hilang
Seberapa pun absurdnya pasti ada makna
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Itu memang paling mudah
Untungnya, kupilih yang lebih susah
Untungnya, kupakai akal sehat
Untungnya, hidup terus berjalan
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Untungnya, untungnya
Hidup harus tetap berjalan",sangat populer,persis setahun yang lalu ku dijauhkan dari yang tak ditakdirkan untukku yang kuingat saat itu yang kulakukan hanya menggerutu angkuh lebih percaya caracaraku pilih ragukan rencana sang maha penentu untungnya bumi masih berputar untungnya ku tak pilih menyerah untungnya ku bisa rasa halhal baik yang datangnya belakangan ada waktuwaktu hal buruk datang berturutturut semua yang tinggal juga yang hilang seberapa pun absurdnya pasti ada makna untungnya bumi masih berputar untungnya ku tak pilih menyerah itu memang paling mudah untungnya kupilih yang lebih susah untungnya kupakai akal sehat untungnya hidup terus berjalan untungnya ku bisa rasa halhal baik yang datangnya belakangan untungnya untungnya hidup harus tetap berjalan
Kata Mereka Ini Berlebihan,Bernadya,81,"Ku tak pernah ikat rambutku lagi semenjak kaubilang
Rambutku indah bila terurai panjang
Baju hitamku tak pernah kusentuh lagi sejak hari itu
Kaubilang warna gelap membosankan
Kubaca sampai tuntas semua buku yang paling kausuka
Mungkin suatu saat kauanggapku cerdas
Tak kuhiraukan kata mereka ini berlebihan
Untukmu, apa pun akan kulakukan
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hm-mm
11.000 kilometer kutempuh sendirian
Bawa pelukku yang ternyata tak kaurindukan
36.000 kaki di atas laut kutahan
Kau tahu benar ku takut ketinggian
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bila ternyata aku bukan yang kauperlu
Kubatalkan setiap janji
Hanya kar'na takut tiba-tiba kau butuh aku di sisimu
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hu-uh
Ingin sempurna di matamu
Ingin kaulihat aku lebih jauh
Ingin kautahu
Tiada yang sayangimu lebih dari aku",sangat populer,ku tak pernah ikat rambutku lagi semenjak kaubilang rambutku indah bila terurai panjang baju hitamku tak pernah kusentuh lagi sejak hari itu kaubilang warna gelap membosankan kubaca sampai tuntas semua buku yang paling kausuka mungkin suatu saat kauanggapku cerdas tak kuhiraukan kata mereka ini berlebihan untukmu apa pun akan kulakukan ingin sempurna di matamu hanya itu yang aku mau namun tampaknya sempurna tak cukup bagimu hmmm kilometer kutempuh sendirian bawa pelukku yang ternyata tak kaurindukan kaki di atas laut kutahan kau tahu benar ku takut ketinggian ingin sempurna di matamu hanya itu yang aku mau namun tampaknya sempurna tak cukup bila ternyata aku bukan yang kauperlu kubatalkan setiap janji hanya karna takut tibatiba kau butuh aku di sisimu ingin sempurna di matamu hanya itu yang aku mau namun tampaknya sempurna tak cukup bagimu huuh ingin sempurna di matamu ingin kaulihat aku lebih jauh ingin kautahu tiada yang sayangimu lebih dari aku
Lama-Lama,Bernadya,81,"Berusaha tetap terjaga
Tunggu kamu selesaikan semua kesibukan
Dering yang paling kunantikan
Akhirnya datang hanya menyapa sebentar
Pamit tidur duluan
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama (lama-lama) habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Berusaha tetap kujaga
Sampai habis, tak tersisa tenaga yang kupunya
Kini tak lagi kunantikan
Lakukan semua senyamanmu saja
Ku menyerah",sangat populer,berusaha tetap terjaga tunggu kamu selesaikan semua kesibukan dering yang paling kunantikan akhirnya datang hanya menyapa sebentar pamit tidur duluan kumaklumi slalu kumengerti kamu punya sibuk lain tak harus aku tak slalu aku lamalama lelah juga aku seperti hanya aku yang butuhkan kamu lamalama habis tenagaku bila bukan lagi aku tempat pulang yang kautuju jangan ulur waktu kumaklumi slalu kumengerti kamu punya sibuk lain tak harus aku tak slalu aku kumaklumi slalu kumengerti kamu punya sibuk lain tak harus aku tak slalu aku lamalama lelah juga aku seperti hanya aku yang butuhkan kamu lamalama lamalama habis tenagaku bila bukan lagi aku tempat pulang yang kautuju jangan ulur waktu berusaha tetap kujaga sampai habis tak tersisa tenaga yang kupunya kini tak lagi kunantikan lakukan semua senyamanmu saja ku menyerah
Kini Mereka Tahu,Bernadya,79,"Dari dulu kulebih-lebihkan semua
Padahal yang kaulakukan tak seberapa
Agar seisi dunia tahu
Dan anggapku paling beruntung
Milikimu
Kukarang cerita yang semula tak ada
Caraku sampaikan seolah semua nyata
Agar semuanya setuju
Dan yakin pada pilihanku
Memilihmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Mereka tak tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Hu-uh-uh-uh, hu-uh
Kudengar kamu sibuk ke sana-kemari
Bersihkan namamu di mata orang lain
Kau cerita dari sisimu
Kaubilang tak semua salahmu
Berharap ada yang memihakmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Kini m'reka tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Yang sebagian besar tak benar begitu
Hu-uh",sangat populer,dari dulu kulebihlebihkan semua padahal yang kaulakukan tak seberapa agar seisi dunia tahu dan anggapku paling beruntung milikimu kukarang cerita yang semula tak ada caraku sampaikan seolah semua nyata agar semuanya setuju dan yakin pada pilihanku memilihmu sifat baikmu yang orang tahu itu karanganku sifat aslimu yang hancurkanku mereka tak tahu dan bahkan setelah semua yang kaulakukan padaku ku tetap bela kamu di depan temantemanku dan mungkin saja bisa jadi bila kamu datang lagi ku kan terimamu kembali huuhuhuh huuh kudengar kamu sibuk ke sanakemari bersihkan namamu di mata orang lain kau cerita dari sisimu kaubilang tak semua salahmu berharap ada yang memihakmu sifat baikmu yang orang tahu itu karanganku sifat aslimu yang hancurkanku kini mreka tahu dan bahkan setelah semua yang kaulakukan padaku ku tetap bela kamu di depan temantemanku dan mungkin saja bisa jadi bila kamu datang lagi ku kan terimamu kembali kalau suatu saat ku cerita burukmu takkan kutambahkan bumbu apa pun tak sama seperti saat kuceritakan baikmu kalau suatu saat ku cerita burukmu takkan kutambahkan bumbu apa pun tak sama seperti saat kuceritakan baikmu kalau suatu saat ku cerita burukmu takkan kutambahkan bumbu apa pun tak sama seperti saat kuceritakan baikmu kalau suatu saat ku cerita burukmu takkan kutambahkan bumbu apa pun tak sama seperti saat kuceritakan baikmu yang sebagian besar tak benar begitu huuh
Mati-Matian,Mahalini,78,"Mahalini baru saaja merilis lagu terbarunya yang berjudul Mati Matian pada 29 Maret 2024. Lagu tersebut dapat disaksikan di Channel Youtube HITS Records. Yuk simak lirik lagunya!
VERSE 1
Kita adalah dua insan penuh cinta
Di awal tercipta kisah kita
Manis tuturmu buatku terpana
Bagiku kau sempurna
Memang benar semua kata mereka
Benarku tlah dibutakan cinta
Tak hanya sekali kau khianati
Sudah, cukup ku tak tahan lagi
CHORUS
Mati-matian ku membelamu di depan mereka
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
BRIDGE
Habis fikir dengan sifatmu itu
Berulangkali ku maafkan
Berulang lagi kau lakukan
Satu satunya kebanggaanku
Kini jadi rasa sakit terdalam
CHORUS to CODA
Mati-matian ku membelamu di depan mereka
Mati-matian ku membelamu di depan mereka
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
(Mati-matian ku membelamu di depan mereka)
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
Tuhan, ini cinta atau bodoh?",sangat populer,kita adalah dua insan penuh cinta di awal tercipta kisah kita manis tuturmu buatku terpana bagiku kau sempurna memang benar semua kata mereka benarku tlah dibutakan cinta tak hanya sekali kau khianati sudah cukup ku tak tahan lagi matimatian ku membelamu di depan mereka walau sakit tetap kupercaya kau beda dari lainnya habishabisan ku dibohongi sayang ini tetap sama tuhan ini cinta atau bodoh habis fikir dengan sifatmu itu berulangkali ku maafkan berulang lagi kau lakukan satu satunya kebanggaanku kini jadi rasa sakit terdalam to matimatian ku membelamu di depan mereka matimatian ku membelamu di depan mereka walau sakit tetap kupercaya kau beda dari lainnya habishabisan ku dibohongi sayang ini tetap sama tuhan ini cinta atau bodoh matimatian ku membelamu di depan mereka walau sakit tetap kupercaya kau beda dari lainnya habishabisan ku dibohongi sayang ini tetap sama tuhan ini cinta atau bodoh tuhan ini cinta atau bodoh
Lampu Kuning,Juicy Luicy,78,"Barangkali hujan lebat susah sinyalmu lagi
Ku buat sepuluh kemungkinan
Tak sampaikah pesan lelah ketiduran
Atau memang sengaja kau abaikan
Tapi sepertinya ku melihatmu tadi
Dengan kemeja hitam andalan
Benar atau bukan
Atau hanya dalam pikiran rindu tak kesampaian
Mengapa ku tancap gas dan melaju
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Lagu lama yang aku tahu
Kali ini apa lain dari yang kemarin
Tak mau kudengar peringatan
Benar atau bukan
Atau hanya dalam pikiran benar yang kata orang
Mengapa ku tancap gas dan melaju
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Lagu lama yang aku tahu
Acuh sebelum jatuh
Tak jera dari dulu
Gelisah makananku
Iya ku tahu itu
Mengapa ah-ah-ah-ah
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Sudah tahu hanya sepihak rindu
Masih coba lempar dadu peruntunganku
Gegabah nomor satu
Paling-paling menangis seperti dulu
Lagu lama yang aku tahu uh-uh-uh-uh
Lupa buta atau ku batu",sangat populer,barangkali hujan lebat susah sinyalmu lagi ku buat sepuluh kemungkinan tak sampaikah pesan lelah ketiduran atau memang sengaja kau abaikan tapi sepertinya ku melihatmu tadi dengan kemeja hitam andalan benar atau bukan atau hanya dalam pikiran rindu tak kesampaian mengapa ku tancap gas dan melaju padahal lampu kuning telah peringatkanku bahaya di depanku hatihati kecewa kan menunggu lagu lama yang aku tahu kali ini apa lain dari yang kemarin tak mau kudengar peringatan benar atau bukan atau hanya dalam pikiran benar yang kata orang mengapa ku tancap gas dan melaju padahal lampu kuning telah peringatkanku bahaya di depanku hatihati kecewa kan menunggu lagu lama yang aku tahu acuh sebelum jatuh tak jera dari dulu gelisah makananku iya ku tahu itu mengapa ahahahah padahal lampu kuning telah peringatkanku bahaya di depanku hatihati kecewa kan menunggu sudah tahu hanya sepihak rindu masih coba lempar dadu peruntunganku gegabah nomor satu palingpaling menangis seperti dulu lagu lama yang aku tahu uhuhuhuh lupa buta atau ku batu
"Sialnya, Hidup Harus Tetap Berjalan",Bernadya,77,"Ini yang takkan kautahu
Betapa beratnya malamku tanpamu
Betapa ku berharap
Setiap malam jadi yang terakhir
S'moga ku hilang dalam tidurku
Tak harapkan hari baru
Pagi jadi yang paling berat untukku
Harus bangun dan t'rima
Kenyataan semua t'lah berbeda
Sialnya, hidup harus tetap berjalan
Mungkin sebentar lagi ku bisa kuterima
Waktuku, peranku dalam hidupmu selesai
Nanti di lain hari
Nanti di lain bumi
Saat sudah rela hati ini
Kuceritakan jalan-jalan yang kutempuh sampai ku bisa relakanmu pergi
Masih jauh dari sembuh
Sudah gila meski tak separah itu
Masih bangun dan t'rima kenyataan
Sudah bukan aku yang isi harimu
Sudah bukan aku alasan senyummu
Sudah hilang semua
Mimpi yang kita bangun dulu
Nanti di lain hari
Nanti di lain bumi
Nanti di lain hari
Nanti di lain bumi",sangat populer,ini yang takkan kautahu betapa beratnya malamku tanpamu betapa ku berharap setiap malam jadi yang terakhir smoga ku hilang dalam tidurku tak harapkan hari baru pagi jadi yang paling berat untukku harus bangun dan trima kenyataan semua tlah berbeda sialnya hidup harus tetap berjalan mungkin sebentar lagi ku bisa kuterima waktuku peranku dalam hidupmu selesai nanti di lain hari nanti di lain bumi saat sudah rela hati ini kuceritakan jalanjalan yang kutempuh sampai ku bisa relakanmu pergi masih jauh dari sembuh sudah gila meski tak separah itu masih bangun dan trima kenyataan sudah bukan aku yang isi harimu sudah bukan aku alasan senyummu sudah hilang semua mimpi yang kita bangun dulu nanti di lain hari nanti di lain bumi nanti di lain hari nanti di lain bumi
Tampar,Juicy Luicy,76,"Lagu ""Tampar"" merupakan lagu yang dirilis pertama kali pada 7 April 2022. Lagu ini berada di bawah naungan label musik Emotion Entertainment. Simak Lirik di bawah ini.
Entah sudah Selasa yang ke berapa
Masih saja kau ada, lekat di kepala
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Bukan ku tak berupaya
Berusaha
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hujan samarkan derasnya
Tutup air mata
Tiga tahun tak terasa
Masih kau yang ada
Bodoh yang sebenarnya
Tampar aku di pipi
Sadarkan kau aku takkan terjadi",sangat populer,entah sudah selasa yang ke berapa masih saja kau ada lekat di kepala hari ini janji esok mesti lupa tetapi hati tak tepati tampar aku di pipi biar sadar dan ku mengerti hujan samarkan derasnya tutup air mata temani kecewaku yang telah lama berdosa kah ku berdoa minta kau terluka dan tinggalkan dirinya hari ini janji esok mesti lupa tetapi hati tak tepati tampar aku di pipi biar sadar dan ku mengerti hujan samarkan derasnya tutup air mata temani kecewaku yang telah lama berdosa kah ku berdoa minta kau terluka dan tinggalkan dirinya bukan ku tak berupaya berusaha hujan samarkan derasnya tutup air mata temani kecewaku yang telah lama berdosa kah ku berdoa minta kau terluka dan tinggalkan dirinya hujan samarkan derasnya tutup air mata tiga tahun tak terasa masih kau yang ada bodoh yang sebenarnya tampar aku di pipi sadarkan kau aku takkan terjadi
Bukan Orangnya,Juicy Luicy,73,"Lingkaranku kerap bertanya
Mengapa ku tampak biasa-biasa saja
Jalani hari dan tertawa
Apa selama ini ku tak benar cinta
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu ku terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Mengapa ku mudah terima
Apa selama ini ku tak benar cinta
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu ku terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Mungkin memang sudah waktunya
Walau kadangkala
Rindu menyapa ada saat-saatnya
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Berdansa bukan tanda ku bahagia
Kita rayakan saja
Sedih kan takkan selamanya
Mungkin memang sudah waktunya
Mungkin dia bukan orangnya",sangat populer,lingkaranku kerap bertanya mengapa ku tampak biasabiasa saja jalani hari dan tertawa apa selama ini ku tak benar cinta tak harus ku alirkan air mata untuk tunjukkan derita dia tinggalkan ku seketika tak perlu ku terusterus bertanya apa alasannya mungkin dia bukan orangnya mengapa ku mudah terima apa selama ini ku tak benar cinta tak harus ku alirkan air mata untuk tunjukkan derita dia tinggalkan ku seketika tak perlu ku terusterus bertanya apa alasannya mungkin dia bukan orangnya mungkin memang sudah waktunya walau kadangkala rindu menyapa ada saatsaatnya tak harus ku alirkan air mata untuk tunjukkan derita dia tinggalkan ku seketika tak perlu terusterus bertanya apa alasannya mungkin dia bukan orangnya berdansa bukan tanda ku bahagia kita rayakan saja sedih kan takkan selamanya mungkin memang sudah waktunya mungkin dia bukan orangnya
Berlari,Bernadya,72,"Seperti yang telah kuduga
Tujuh hari menghilang kini kau datang lagi
Merangkum kabar sepekan
Meski katamu minggu ini banyak tak senangnya
Aaa... tak sesuai rencana
Aaa... bukankah harusnya
Kita tak saling berkabar lagi
Itu katamu kemarin
Setidaknya aku jadi yang pertama kau kabari
Saat harimu kurang menarik
Sampai nanti suatu pagi
Kau tak butuh aku lagi
Kapan pun kau panggil
Ku ke situ berlari
Susah payah ku menahan
Untuk tak kabarimu tapi malah kau runtuhkan
Aaa... semua upaya
Aaa... kupikirkan ulang
Kau tak punya siapa-siapa lagi
Tuk cerita hari-hari
Setidaknya aku jadi yang pertama kau kabari
Saat harimu kurang menarik
Sampai nanti suatu pagi
Kau tak butuh aku lagi
Kapan pun kau panggil
Ku ke situ berlari
Ku ke situ berlari
Tanpa pikir dua kali
Tak bisa kupungkiri kabar darimu
Masih jadi yang paling kunanti
Meski besok pasti
Kau sudah hilang lagi",sangat populer,seperti yang telah kuduga tujuh hari menghilang kini kau datang lagi merangkum kabar sepekan meski katamu minggu ini banyak tak senangnya aaa tak sesuai rencana aaa bukankah harusnya kita tak saling berkabar lagi itu katamu kemarin setidaknya aku jadi yang pertama kau kabari saat harimu kurang menarik sampai nanti suatu pagi kau tak butuh aku lagi kapan pun kau panggil ku ke situ berlari susah payah ku menahan untuk tak kabarimu tapi malah kau runtuhkan aaa semua upaya aaa kupikirkan ulang kau tak punya siapasiapa lagi tuk cerita harihari setidaknya aku jadi yang pertama kau kabari saat harimu kurang menarik sampai nanti suatu pagi kau tak butuh aku lagi kapan pun kau panggil ku ke situ berlari ku ke situ berlari tanpa pikir dua kali tak bisa kupungkiri kabar darimu masih jadi yang paling kunanti meski besok pasti kau sudah hilang lagi
