track,artist,popularity,lyrics
"Untungnya, Hidup Harus Tetap Berjalan",Bernadya,84,"Persis setahun yang lalu
Ku dijauhkan dari yang tak ditakdirkan untukku
Yang kuingat saat itu
Yang kulakukan hanya menggerutu angkuh
Lebih percaya cara-caraku
Pilih ragukan rencana Sang Maha Penentu
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Ada waktu-waktu
Hal buruk datang berturut-turut
Semua yang tinggal, juga yang hilang
Seberapa pun absurdnya pasti ada makna
Untungnya, bumi masih berputar
Untungnya, ku tak pilih menyerah
Itu memang paling mudah
Untungnya, kupilih yang lebih susah
Untungnya, kupakai akal sehat
Untungnya, hidup terus berjalan
Untungnya, ku bisa rasa
Hal-hal baik yang datangnya belakangan
Untungnya, untungnya
Hidup harus tetap berjalan"
Kata Mereka Ini Berlebihan,Bernadya,81,"Ku tak pernah ikat rambutku lagi semenjak kaubilang
Rambutku indah bila terurai panjang
Baju hitamku tak pernah kusentuh lagi sejak hari itu
Kaubilang warna gelap membosankan
Kubaca sampai tuntas semua buku yang paling kausuka
Mungkin suatu saat kauanggapku cerdas
Tak kuhiraukan kata mereka ini berlebihan
Untukmu, apa pun akan kulakukan
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hm-mm
11.000 kilometer kutempuh sendirian
Bawa pelukku yang ternyata tak kaurindukan
36.000 kaki di atas laut kutahan
Kau tahu benar ku takut ketinggian
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bila ternyata aku bukan yang kauperlu
Kubatalkan setiap janji
Hanya kar'na takut tiba-tiba kau butuh aku di sisimu
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hu-uh
Ingin sempurna di matamu
Ingin kaulihat aku lebih jauh
Ingin kautahu
Tiada yang sayangimu lebih dari aku"
Lama-Lama,Bernadya,81,"Berusaha tetap terjaga
Tunggu kamu selesaikan semua kesibukan
Dering yang paling kunantikan
Akhirnya datang hanya menyapa sebentar
Pamit tidur duluan
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama (lama-lama) habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Berusaha tetap kujaga
Sampai habis, tak tersisa tenaga yang kupunya
Kini tak lagi kunantikan
Lakukan semua senyamanmu saja
Ku menyerah"
Kini Mereka Tahu,Bernadya,79,"Dari dulu kulebih-lebihkan semua
Padahal yang kaulakukan tak seberapa
Agar seisi dunia tahu
Dan anggapku paling beruntung
Milikimu
Kukarang cerita yang semula tak ada
Caraku sampaikan seolah semua nyata
Agar semuanya setuju
Dan yakin pada pilihanku
Memilihmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Mereka tak tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Hu-uh-uh-uh, hu-uh
Kudengar kamu sibuk ke sana-kemari
Bersihkan namamu di mata orang lain
Kau cerita dari sisimu
Kaubilang tak semua salahmu
Berharap ada yang memihakmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Kini m'reka tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Yang sebagian besar tak benar begitu
Hu-uh"
Mati-Matian,Mahalini,78,"Mahalini baru saaja merilis lagu terbarunya yang berjudul Mati Matian pada 29 Maret 2024. Lagu tersebut dapat disaksikan di Channel Youtube HITS Records. Yuk simak lirik lagunya!
VERSE 1
Kita adalah dua insan penuh cinta
Di awal tercipta kisah kita
Manis tuturmu buatku terpana
Bagiku kau sempurna
Memang benar semua kata mereka
Benarku tlah dibutakan cinta
Tak hanya sekali kau khianati
Sudah, cukup ku tak tahan lagi
CHORUS
Mati-matian ku membelamu di depan mereka
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
BRIDGE
Habis fikir dengan sifatmu itu
Berulangkali ku maafkan
Berulang lagi kau lakukan
Satu satunya kebanggaanku
Kini jadi rasa sakit terdalam
CHORUS to CODA
Mati-matian ku membelamu di depan mereka
Mati-matian ku membelamu di depan mereka
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
(Mati-matian ku membelamu di depan mereka)
Walau sakit tetap kupercaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan, ini cinta atau bodoh?
Tuhan, ini cinta atau bodoh?"
Lampu Kuning,Juicy Luicy,78,"Barangkali hujan lebat susah sinyalmu lagi
Ku buat sepuluh kemungkinan
Tak sampaikah pesan lelah ketiduran
Atau memang sengaja kau abaikan
Tapi sepertinya ku melihatmu tadi
Dengan kemeja hitam andalan
Benar atau bukan
Atau hanya dalam pikiran rindu tak kesampaian
Mengapa ku tancap gas dan melaju
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Lagu lama yang aku tahu
Kali ini apa lain dari yang kemarin
Tak mau kudengar peringatan
Benar atau bukan
Atau hanya dalam pikiran benar yang kata orang
Mengapa ku tancap gas dan melaju
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Lagu lama yang aku tahu
Acuh sebelum jatuh
Tak jera dari dulu
Gelisah makananku
Iya ku tahu itu
Mengapa ah-ah-ah-ah
Padahal lampu kuning telah peringatkanku
Bahaya di depanku
Hati-hati kecewa kan menunggu
Sudah tahu hanya sepihak rindu
Masih coba lempar dadu peruntunganku
Gegabah nomor satu
Paling-paling menangis seperti dulu
Lagu lama yang aku tahu uh-uh-uh-uh
Lupa buta atau ku batu"
"Sialnya, Hidup Harus Tetap Berjalan",Bernadya,77,"Ini yang takkan kautahu
Betapa beratnya malamku tanpamu
Betapa ku berharap
Setiap malam jadi yang terakhir
S'moga ku hilang dalam tidurku
Tak harapkan hari baru
Pagi jadi yang paling berat untukku
Harus bangun dan t'rima
Kenyataan semua t'lah berbeda
Sialnya, hidup harus tetap berjalan
Mungkin sebentar lagi ku bisa kuterima
Waktuku, peranku dalam hidupmu selesai
Nanti di lain hari
Nanti di lain bumi
Saat sudah rela hati ini
Kuceritakan jalan-jalan yang kutempuh sampai ku bisa relakanmu pergi
Masih jauh dari sembuh
Sudah gila meski tak separah itu
Masih bangun dan t'rima kenyataan
Sudah bukan aku yang isi harimu
Sudah bukan aku alasan senyummu
Sudah hilang semua
Mimpi yang kita bangun dulu
Nanti di lain hari
Nanti di lain bumi
Nanti di lain hari
Nanti di lain bumi"
Tampar,Juicy Luicy,76,"Lagu ""Tampar"" merupakan lagu yang dirilis pertama kali pada 7 April 2022. Lagu ini berada di bawah naungan label musik Emotion Entertainment. Simak Lirik di bawah ini.
Entah sudah Selasa yang ke berapa
Masih saja kau ada, lekat di kepala
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hari ini janji esok mesti lupa
Tetapi hati tak tepati
Tampar aku di pipi
Biar sadar dan ku mengerti
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Bukan ku tak berupaya
Berusaha
Hujan samarkan derasnya
Tutup air mata
Temani kecewaku yang telah lama
Berdosa kah ku berdoa
Minta kau terluka
Dan tinggalkan dirinya
Hujan samarkan derasnya
Tutup air mata
Tiga tahun tak terasa
Masih kau yang ada
Bodoh yang sebenarnya
Tampar aku di pipi
Sadarkan kau aku takkan terjadi"
Kata Mereka Ini Berlebihan,Bernadya,75,"Ku tak pernah ikat rambutku lagi semenjak kaubilang
Rambutku indah bila terurai panjang
Baju hitamku tak pernah kusentuh lagi sejak hari itu
Kaubilang warna gelap membosankan
Kubaca sampai tuntas semua buku yang paling kausuka
Mungkin suatu saat kauanggapku cerdas
Tak kuhiraukan kata mereka ini berlebihan
Untukmu, apa pun akan kulakukan
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hm-mm
11.000 kilometer kutempuh sendirian
Bawa pelukku yang ternyata tak kaurindukan
36.000 kaki di atas laut kutahan
Kau tahu benar ku takut ketinggian
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bila ternyata aku bukan yang kauperlu
Kubatalkan setiap janji
Hanya kar'na takut tiba-tiba kau butuh aku di sisimu
Ingin sempurna di matamu
Hanya itu yang aku mau
Namun, tampaknya sempurna tak cukup
Bagimu, hu-uh
Ingin sempurna di matamu
Ingin kaulihat aku lebih jauh
Ingin kautahu
Tiada yang sayangimu lebih dari aku"
Kini Mereka Tahu,Bernadya,74,"Dari dulu kulebih-lebihkan semua
Padahal yang kaulakukan tak seberapa
Agar seisi dunia tahu
Dan anggapku paling beruntung
Milikimu
Kukarang cerita yang semula tak ada
Caraku sampaikan seolah semua nyata
Agar semuanya setuju
Dan yakin pada pilihanku
Memilihmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Mereka tak tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Hu-uh-uh-uh, hu-uh
Kudengar kamu sibuk ke sana-kemari
Bersihkan namamu di mata orang lain
Kau cerita dari sisimu
Kaubilang tak semua salahmu
Berharap ada yang memihakmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Kini m'reka tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Yang sebagian besar tak benar begitu
Hu-uh"
